Participante,Data de nascimento,Ocupação,Origem,Resultado,Ref.
Rodrigo Fraga Leonel,04/04/1970,Domador de cavalos,"Ribeirão Preto, São Paulo",Vencedorem 23 de julho de 2002,[3]
Manuela Santos Saadeh,31/05/1979,Estudante de Marketing,"Rio de Janeiro, Rio de Janeiro",2º lugarem 23 de julho de 2002,[4]
Maria Aparecida Junqueira de Moraes (Cida),30/10/1963,Aeromoça,"Rio de Janeiro, Rio de Janeiro",10ª eliminadaem 21 de julho de 2002,[5]
Thyrso Mattos Martins,04/10/1975,Cozinheiro,"São Paulo, São Paulo",9º eliminadoem 16 de julho de 2002,[6]
Tarciana de Lima Mafra,08/11/1974,Vendedora,"Recife, Pernambuco",8ª eliminadaem 9 de julho de 2002,[7]
Fabrício Luiz do Amaral,16/05/1977,Estudante,"Novo Hamburgo, Rio Grande do Sul",7º eliminadoem 2 de julho de 2002,[8]
Thaís Ventura Pugliese,08/03/1983,Estudante,"Niterói, Rio de Janeiro",6ª eliminadaem 25 de junho de 2002,[9]
Moisés Joaquim da Silva,25/09/1975,Vendedor,"Porto de Galinhas, Pernambuco",5º eliminadoem 18 de junho de 2002,[10]
Jeferson de Oliveira dos Santos,21/10/1974,Cantor,"Carapicuíba, São Paulo",4º eliminadoem 11 de junho de 2002,[11]
Fernando Fernandes de Pádua,28/03/1981,Boxeador/Modelo,"São Paulo, São Paulo",3º eliminadoem 4 de junho de 2002,[12]
Vanessa Cristina Soares Dias (Tina),11/06/1980,Futebolista/Estudante de Turismo,"São Paulo, São Paulo",2ª eliminadaem 28 de maio de 2002,[13]
Rita Sinara Gonçalves da Silva Lopes,13/08/1972,Cartomante,"Esteio, Rio Grande do Sul",1ª eliminadaem 21 de maio de 2002,[14]
