Participante,Data de nascimento,Ocupação,Origem,Resultado,Ref.
Rafael Ribeiro Medeiros de Carvalho (Rafinha),23/09/1981,Músico,"Campinas, São Paulo",Vencedorem 25 de março de 2008,[4]
Gyselle Soares Estevão,27/10/1983,Modelo,"Teresina, Piauí",2º lugarem 25 de março de 2008,[5]
Natália Bohm Casassola,08/07/1985,Estudante de Artes Visuais,"Passo Fundo, Rio Grande do Sul",12ª eliminadaem 23 de março de 2008,[6]
Marcos Paulo Parmagnani da Silva,15/05/1981,Eletrotécnico,"Niterói, Rio de Janeiro",11º eliminadoem 22 de março de 2008,[7]
Thatiana André Bione,17/06/1986,Professora de inglês,"Brasília, Distrito Federal",10ª eliminadaem 18 de março de 2008,[8]
Marcelo de Oliveira Arantes,22/03/1976,Médico psiquiatra,"Uberaba, Minas Gerais",9º eliminadoem 11 de março de 2008,[9]
Juliana de Góes Carlos,25/06/1985,Jornalista/modelo,"Santos, São Paulo",8ª eliminadaem 4 de março de 2008,[10]
Luiz Felipe Basílio Thimóteo de Oliveira,18/12/1986,Estudante de Comércio Exterior,"São Paulo, São Paulo",7º eliminadoem 26 de fevereiro de 2008,[11]
Luiz Fernando de Brito Mesquita,22/09/1982,Gerente de contas,"Rio de Janeiro, Rio de Janeiro",6º eliminadoem 19 de fevereiro de 2008,[12]
Bianca Maria Correia Jahara,12/10/1979,Produtora de moda,"Rio de Janeiro, Rio de Janeiro",5ª eliminadaem 12 de fevereiro de 2008,[13]
Thalita Lippi Lopes,30/01/1978,Atriz,"Rio de Janeiro, Rio de Janeiro",4ª eliminadaem 5 de fevereiro de 2008,[14]
Alexandre Torralbo Scaquette,10/05/1983,Modelo,"Limeira, São Paulo",3º eliminadoem 28 de janeiro de 2008,[15]
Rafael Rocha Memória,20/01/1984,Estudante de Medicina,"Fortaleza, Ceará",2º eliminadoem 22 de janeiro de 2008,[16]
Jaqueline Cury Cardoso,06/04/1984,Modelo,"São Paulo, São Paulo",1ª eliminadaem 15 de janeiro de 2008,[17]
