Participante,Data de nascimento,Ocupação,Origem,Resultado,Ref.
Kleber de Paula Pedra,14/02/1978,Dançarino,"Campinas, São Paulo",Vencedorem 2 de abril de 2002,[8]
Vanessa Melanie Pascale Ekypenyong Walborn,28/11/1974,Modelo,"Rio de Janeiro, Rio de Janeiro",2º lugarem 2 de abril de 2002,[9]
André Batista de Carvalho,28/11/1974,Professor de canto,"Rio de Janeiro, Rio de Janeiro",3º lugarem 2 de abril de 2002,[10]
Antonio Sergio Tavares Campo,06/12/1972,Cabeleireiro,Angola,9º eliminadoem 31 de março de 2002,[11]
Alessandra Begliomini,05/12/1974,Empresária,"São Paulo, São Paulo",8ª eliminadaem 26 de março de 2002,[12]
Estela Padilha,27/09/1978,Videografista,"São Paulo, São Paulo",7ª eliminadaem 19 de março de 2002,[13]
Adriano Luiz Ramos de Castro,23/10/1968,Artista plástico,"Salvador, Bahia",6º eliminadoem 12 de março de 2002,[14]
Helena Louro,21/06/1976,Atriz,"Maringá, Paraná",5ª eliminadaem 5 de março de 2002,[15]
Cristiana Carvalho Mota Machado,07/12/1974,Cantora,"Rio de Janeiro, Rio de Janeiro",4ª eliminadaem 26 de fevereiro de 2002,[16]
Bruno Saladini Trautvetter,10/03/1976,Modelo,"Rio de Janeiro, Rio de Janeiro",3º eliminadoem 19 de fevereiro de 2002,[17]
Cristiane Souza Dantas (Xaiane),21/12/1975,Barwoman,"Rio de Janeiro, Rio de Janeiro",2ª eliminadaem 12 de fevereiro de 2002,[18]
Caetano Zonaro,20/06/1961,Modelo,"São Paulo, São Paulo",1º eliminadoem 5 de fevereiro de 2002,[19]
