Participante,Data de nascimento,Ocupação,Origem,Resultado,Ref.
Juliette Freire Feitosa,03/12/1989,Advogada e maquiadora,"Campina Grande, Paraíba",Vencedoraem 4 de maio de 2021,[184]
Camilla Jesus Santos de Lucas,13/10/1994,Influenciadora digital,"Nova Iguaçu, Rio de Janeiro",2º lugarem 4 de maio de 2021,[185]
Filipe Kartalian Ayrosa Galvão (Fiuk),25/10/1990,Ator e cantor,"São Paulo, São Paulo",3º lugarem 4 de maio de 2021,[186]
Gilberto José Nogueira Junior,14/07/1991,Economista,"Jaboatão dos Guararapes, Pernambuco",16º eliminadoem 2 de maio de 2021,[187]
Viviane de Queiroz Pereira (Pocah),17/10/1994,Cantora,"Queimados, Rio de Janeiro",15ª eliminadaem 29 de abril de 2021,[188]
Arthur Louzada Picoli,21/06/1994,Instrutor de crossfit,"Cachoeiro de Itapemirim, Espírito Santo",14º eliminadoem 27 de abril de 2021,[189]
Vitória de Felice Moraes (Viih Tube),18/08/2000,Atriz e YouTuber,"Sorocaba, São Paulo",13ª eliminadaem 25 de abril de 2021,[190]
João Luiz Pedrosa da Silva,09/10/1996,Professor de Geografia,"Santos Dumont, Minas Gerais",12º eliminadoem 22 de abril de 2021,[191]
Caio Farah Afiune,06/01/1989,Fazendeiro,"Anápolis, Goiás",11º eliminadoem 20 de abril de 2021,[192]
Thaís Faria Braz,25/01/1993,Cirurgiã-dentista,"Luziânia, Goiás",10ª eliminadaem 13 de abril de 2021,[193]
Rodolffo Matthaus da Silva Rios,24/08/1988,Cantor,"Uruaçu, Goiás",9º eliminadoem 6 de abril de 2021,[194]
Sarah Carolline Vieira de Andrade,22/06/1991,Consultora de marketing digital,"Brasília, Distrito Federal",8ª eliminadaem 30 de março de 2021,[195]
Carla Carolina Moreira Diaz,28/11/1990,Atriz,"São Paulo, São Paulo",7ª eliminadaem 23 de março de 2021,[196]
José Tiago Sabino Pereira (Projota),11/04/1986,Cantor e rapper,"São Paulo, São Paulo",6º eliminadoem 16 de março de 2021,[197]
Lumena de Aleluia Santos,18/04/1991,Psicóloga e DJ,"Salvador, Bahia",5ª eliminadaem 2 de março de 2021,[198]
Karoline dos Santos de Oliveira (Karol Conká),01/01/1986,Apresentadora e cantora,"Curitiba, Paraná",4ª eliminadaem 23 de fevereiro de 2021,[199]
Dilson Alves da Silva Neto (Nego Di),01/06/1994,Comediante,"Porto Alegre, Rio Grande do Sul",3º eliminadoem 16 de fevereiro de 2021,[200]
Arcrebiano de Araújo Silva,13/12/1991,Educador físico e modelo,"Vila Velha, Espírito Santo",2º eliminadoem 9 de fevereiro de 2021,[201]
Lucas Prata Penteado,23/11/1996,Ator,"São Paulo, São Paulo",Desistenteem 7 de fevereiro de 2021,[202]
Kerline Farias Cardoso Leite,23/04/1992,Influenciadora digital e modelo,"Fortaleza, Ceará",1ª eliminadaem 2 de fevereiro de 2021,[203]
