Participante,Data de nascimento,Ocupação,Origem,Resultado,Ref.
Emilly de Araújo Corrêa,24/07/1996,Estudante,"Eldorado do Sul, Rio Grande do Sul",Vencedoraem 13 de abril de 2017,[82]
Vivian Silveira Amorim,20/03/1993,Advogada,"Manaus, Amazonas",2º lugarem 13 de abril de 2017,[83]
Ieda Maria Wobeto,26/04/1946,Aposentada,"Canoas, Rio Grande do Sul",3º lugarem 13 de abril de 2017,[84]
Marcos de Oliveira Härter,21/03/1979,Cirurgião plástico,"Porto Alegre, Rio Grande do Sul",Expulso em 10 de abril de 2017,[36]
Marinalva de Almeida,27/08/1977,Paratleta,"Santa Isabel do Ivaí, Paraná",11ª eliminada em 9 de abril de 2017,[85]
Ilmar Renato Granja Fonseca,10/01/1979,Advogado/Cozinheiro,"Campo Grande, Mato Grosso do Sul",10º eliminado em 4 de abril de 2017,[86]
Daniel Fabiano Fontes,01/06/1975,Agente de trânsito,"Ferraz de Vasconcelos, São Paulo",9º eliminado em 27 de março de 2017,[87]
Rômulo Milhomem Freitas Figueira Neves,31/10/1977,Diplomata,"Brasília, Distrito Federal",8º eliminado em 21 de março de 2017,[88]
Roberta Freitas Diniz,20/09/1995,Estudante de Serviço Social,"São Paulo, São Paulo",7ª eliminada em 14 de março de 2017,[89]
Pedro Inzinna Falcão,09/02/1987,Jornalista,"São Paulo, São Paulo",6º eliminado em 7 de março de 2017,[90]
Elis Nair da Penha Gonçalves,06/05/1976,Comerciante,"Taguatinga, Distrito Federal",5ª eliminada em 28 de fevereiro de 2017,[91]
Manoel Augusto Pereira Rafaski,21/10/1993,Promotor de eventos,"Vitória, Espírito Santo",4º eliminado em 21 de fevereiro de 2017,[92]
Luiz Felipe Barbosa Ribeiro,15/07/1988,Comerciante,"Maceió, Alagoas",3º eliminado em 14 de fevereiro de 2017,[93]
Mayara Motti Rodrigues,07/11/1990,Bacharel em Direito,"Belo Horizonte, Minas Gerais",2ª eliminada em 7 de fevereiro de 2017,[94]
Gabriela Flor Bitencourt Lucídio Ferreira,18/08/1989,Bailarina,"Salvador, Bahia",1ª eliminada em 31 de janeiro de 2017,[95]
