Participante,Data de nascimento,Ocupação,Origem,Resultado,Ref.
Fernanda Keulla Vilaça,22/05/1986,Advogada,"Belo Horizonte, Minas Gerais",Vencedoraem 26 de março de 2013,[56]
Nasser Bernardes Rodrigues,25/11/1988,Vendedor,"Porto Alegre, Rio Grande do Sul",2º lugarem 26 de março de 2013,[57]
Andressa Ganacin,09/08/1989,Esteticista,"Cianorte, Paraná",3º lugarem 26 de março de 2013,[58]
Natália Bohm Casassola,08/07/1985,Ex-BBB 8,"Passo Fundo, Rio Grande do Sul",13ª eliminada em 24 de março de 2013,[59]
André Borges Martinelli,05/04/1988,Empresário,"Vitória, Espírito Santo",12º eliminado em 19 de março de 2013,[60]
Fani Miranda Pacheco,24/05/1982,Ex-BBB 7,"Nova Iguaçu, Rio de Janeiro",11ª eliminada em 17 de março de 2013,[61]
Kamilla Ghabrise Rodrigues Salgado,31/03/1987,Modelo,"Belém, Pará",10ª eliminada em 12 de março de 2013,[62]
Anamara Cristiane de Brito Barreira,13/07/1984,Ex-BBB 10,"Juazeiro, Bahia",9ª eliminada em 5 de março de 2013,[63]
Marcello Soares,08/10/1981,Personal trainer,"Rio de Janeiro, Rio de Janeiro",8º eliminado em 3 de março de 2013,[64]
Eliéser José Ambrósio,12/05/1984,Ex-BBB 10,"Maringá, Paraná",7º eliminadoem 26 de fevereiro de 2013,[65]
Ivan Marcondes Antônio,26/01/1986,Professor de Inglês,"Rio Claro, São Paulo",6º eliminadoem 19 de fevereiro de 2013,[66]
Marien dos Reis y Carretero,06/12/1987,Bailarina de Flamenco,"Belo Horizonte, Minas Gerais",5ª eliminadaem 12 de fevereiro de 2013,[67]
Yuri Fernandes Magalhães de Almeida,31/10/1985,Ex-BBB 12,"Goiânia, Goiás",4º eliminadoem 5 de fevereiro de 2013,[68]
Aslan Cabral,12/01/1980,Artista plástico,"Recife, Pernambuco",3º eliminadoem 29 de janeiro de 2013,[69]
André Augusto Ferreira Fontes (Dhomini),27/09/1972,Ex-BBB 3,"Goiânia, Goiás",2º eliminadoem 22 de janeiro de 2013,[70]
Aline Santos Mattos,08/12/1981,Recepcionista,"Rio de Janeiro, Rio de Janeiro",1ª eliminadaem 15 de janeiro de 2013,[71]
Kleber de Paula Pedra (Bambam),14/02/1978,Ex-BBB 1,"Campinas, São Paulo",Desistenteem 12 de janeiro de 2013,[72]
