Participante,Data de nascimento,Ocupação,Origem,Resultado,Ref.
Marcelo Pereira Dourado,29/04/1972,Lutador,"Porto Alegre, Rio Grande do Sul",Vencedorem 30 de março de 2010,[9]
Fernanda Helena Cardoso,04/12/1981,Dentista,"São José dos Campos, São Paulo",2º lugarem 30 de março de 2010,[10]
Carlos Eduardo de Nascimento Parga (Cadu),04/04/1985,Personal trainer,"Rio de Janeiro, Rio de Janeiro",3º lugarem 30 de março de 2010,[11]
Eliane Kheireddine (Lia),15/01/1981,Dançarina,"São Paulo, São Paulo",14ª eliminadaem 28 de março de 2010,[12]
Dicesar Ferreira dos Santos,02/01/1966,Maquiador/Drag queen,"Sertanópolis, Paraná",13º eliminadoem 27 de março de 2010,[13]
Anamara Cristiane de Brito Barreira,13/07/1984,Policial militar,"Juazeiro, Bahia",12ª eliminadaem 23 de março de 2010,[14]
Sérgio Luis de Ramos Franceschini,25/02/1989,Estudante de Moda,"São Paulo, São Paulo",11º eliminadoem 21 de março de 2010,[15]
Michel Turtchin,13/03/1979,Publicitário,"São Paulo, São Paulo",10º eliminadoem 16 de março de 2010,[16]
Eliéser José Ambrósio,12/05/1984,Engenheiro agrônomo/Modelo,"Maringá, Paraná",9º eliminadoem 9 de março de 2010,[17]
Cláudia Livia Colucci,28/12/1981,Empresária,"Ribeirão Preto, São Paulo",8ª eliminadaem 2 de março de 2010,[18]
Ana Angélica Martins Marques,01/03/1985,Jornalista,"Uberlândia, Minas Gerais",7ª eliminadaem 23 de fevereiro de 2010,[19]
Elenita Gonçalves Rodrigues,01/03/1979,Professora de Linguagens/Doutora em Linguística,"Brasília, Distrito Federal",6ª eliminadaem 16 de fevereiro de 2010,[20]
Uilliam Cardoso Carvalho,01/02/1986,Dançarino,"Firmino Alves, Bahia",5º eliminadoem 9 de fevereiro de 2010,[21]
Alex Fernandes Vilanova,08/11/1973,Advogado,"Suzano, São Paulo",4º eliminadoem 7 de fevereiro de 2010,[22]
Tessália Serighelli de Castro,11/04/1987,Publicitária,"Curitiba, Paraná",3ª eliminadaem 2 de fevereiro de 2010,[23]
Ana Marcela Santos Pereira Alves,21/09/1984,Estudante de Direito,"Recife, Pernambuco",2ª eliminadaem 26 de janeiro de 2010,[24]
Joseane Procasco Guntzell de Oliveira,10/04/1981,Modelo/Apresentadora,"Canoas, Rio Grande do Sul",1ª eliminadaem 19 de janeiro de 2010,[25]
