Participante,Data de nascimento,Ocupação,Origem,Resultado,Ref.
Paula von Sperling Viana,17/11/1990,Bacharel em Direito,"Lagoa Santa, Minas Gerais",Vencedoraem 12 de abril de 2019,[113]
Alan Possamai Barbosa,01/08/1992,Administrador e Empresário,"Criciúma, Santa Catarina",2º lugarem 12 de abril de 2019,[114]
Carolina Peixinho Sodré,12/04/1985,Publicitária e Empresária,"Salvador, Bahia",13ª eliminadaem 11 de abril de 2019,[115]
Hariany Nathalia Mesquita de Almeida,22/09/1997,Estudante de Design de Moda,"Senador Canedo, Goiás",Expulsaem 11 de abril de 2019,[116]
Rízia de Cerqueira Apolinario,23/01/1994,Jornalista,"São Miguel dos Campos, Alagoas",12ª eliminadaem 9 de abril de 2019,[117]
Gabriela Cano Hebling,17/03/1986,Designer gráfica e Percussionista,"Ribeirão Preto, São Paulo",11ª eliminadaem 7 de abril de 2019,[118]
Rodrigo Ferreira França,28/01/1978,Cientista social especializado em direitos humanos e Dramaturgo,"Rio de Janeiro, Rio de Janeiro",10º eliminadoem 2 de abril de 2019,[119]
Elana Valenária Fernandes da Silva,15/12/1993,Engenheira Agrônoma,"Bom Jesus, Piauí",9ª eliminadaem 26 de março de 2019,[120]
Danrley Ferreira da Silva,19/01/1999,Estudante de Biologia e Vendedor de picolé,"Rio de Janeiro, Rio de Janeiro",8º eliminadoem 19 de março de 2019,[121]
Terezinha Ferreira de Souza Freitas (Tereza),28/01/1966,Psicanalista e Técnica de enfermagem,"Arcoverde, Pernambuco",7ª eliminadaem 12 de março de 2019,[122]
Isabella Chiara Nelson Cecchi,31/03/1994,Estudante de Medicina,"Natal, Rio Grande do Norte",6ª eliminadaem 26 de fevereiro de 2019,[123]
Maycon Santos Oliveira,06/06/1991,Barman e Vendedor de queijos,"Piumhi, Minas Gerais",5º eliminadoem 19 de fevereiro de 2019,[124]
Diego Henrique Wantowsky,13/11/1988,Empresário e Criador de cavalos,"Rio Negrinho, Santa Catarina",4º eliminadoem 12 de fevereiro de 2019,[125]
Hana Khalil Carvalho Cavalcanti de Albuquerque,18/03/1996,Bacharel em cinema e YouTuber,"Rio de Janeiro, Rio de Janeiro",3ª eliminadaem 5 de fevereiro de 2019,[126]
Gustavo de Léo Soares,03/02/1981,Médico oftalmologista,"São Paulo, São Paulo",2º eliminadoem 29 de janeiro de 2019,[127]
Vanderson Gomes de Brito,15/07/1983,Biólogo e Coordenador educacional indígena,"Rio Branco, Acre",Expulsoem 23 de janeiro de 2019,[128]
Vinicius Póvoa Fernandes,28/01/1978,Artista plástico e Publicitário,"Belo Horizonte, Minas Gerais",1º eliminadoem 22 de janeiro de 2019,[129]
